method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.1,0.030623111873865128,0.01955009624361992,0.011073015630245209,0.9836354851722717,1.2628434831185587e-07,0.983635425567627,0.9836357235908508,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.09000000000000001,0.02485465072095394,0.01583908498287201,0.009015565738081932,0.9867324233055115,8.6146528133213e-08,0.9867322444915771,0.9867326021194458,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.08000000000000002,0.01967358961701393,0.0125172333791852,0.0071563562378287315,0.9895082116127014,9.814174006805843e-08,0.9895079731941223,0.989508330821991,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.07,0.015086316503584385,0.009585084393620491,0.005501232109963894,0.9919614195823669,1.8144369562378415e-07,0.9919610619544983,0.9919613599777222,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.06,0.011099055409431458,0.007043079938739538,0.004055975470691919,0.9940902590751648,1.1203982097640619e-07,0.9940900206565857,0.9940903186798096,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.05000000000000002,0.007716534659266472,0.004891587421298027,0.002824947237968445,0.9958940148353577,2.4767624040578085e-07,0.9958935976028442,0.9958938956260681,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.04000000000000001,0.004943343345075846,0.0031309041660279036,0.0018124391790479422,0.9973710179328918,1.8953068092741887e-07,0.997370719909668,0.9973710775375366,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.03,0.002782671246677637,0.0017612576484680176,0.0010214135982096195,0.99852055311203,8.929652040023939e-08,0.9985204935073853,0.9985207915306091,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.020000000000000018,0.0012372448109090328,0.0007828200468793511,0.0004544247640296817,0.9993425011634827,1.4761428701604018e-07,0.9993422627449036,0.9993425011634827,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.010000000000000009,0.0003093355626333505,0.00019571084703784436,0.00011362471559550613,0.9998356103897095,6.939669106031943e-08,0.9998354911804199,0.9998357892036438,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.0,0.0,1.2562809950308895e-12,0.0,1.0,2.8097899118506575e-08,0.9999998807907104,1.0000001192092896,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.009999999999999981,0.0003095051215495914,0.00019571094890125096,0.00011379417264834046,0.9998356103897095,1.0400019334610988e-07,0.9998353719711304,0.9998357892036438,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.01999999999999999,0.0012372448109090328,0.0007828204543329775,0.0004544243565760553,0.9993425011634827,1.7947498065495893e-07,0.9993422031402588,0.9993424415588379,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.03,0.002782671246677637,0.0017612577648833394,0.0010214134817942977,0.9985204935073853,1.0247068615854005e-07,0.9985204339027405,0.9985207915306091,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.03999999999999998,0.004943259060382843,0.0031309041660279036,0.0018123548943549395,0.9973710179328918,2.0397604316713114e-07,0.9973706603050232,0.9973710775375366,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.04999999999999999,0.007716619409620762,0.004891588352620602,0.0028250310570001602,0.9958939552307129,2.1800782690206688e-07,0.9958935976028442,0.9958939552307129,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.06,0.011098970659077168,0.007043079938739538,0.004055890720337629,0.99409019947052,9.733398087519163e-08,0.9940899014472961,0.9940903782844543,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.07,0.015086316503584385,0.009585082530975342,0.005501233972609043,0.9919614195823669,2.035886268458853e-07,0.9919611215591431,0.9919614195823669,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.08000000000000002,0.019673505797982216,0.012517236173152924,0.007156269624829292,0.9895083904266357,2.531930931581883e-07,0.9895079731941223,0.9895082712173462,2.7579010256073566e-11,45.0
