method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.03,0.00277733919210732,0.0017603575251996517,0.0010169816669076681,0.9985204935073853,1.0205837241983318e-07,0.9985204339027405,0.9985207915306091,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.03999999999999998,0.004933718591928482,0.0031293171923607588,0.0018044013995677233,0.9973709583282471,1.540733194360655e-07,0.9973706603050232,0.9973710775375366,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.04999999999999999,0.007701805327087641,0.00488913431763649,0.002812671009451151,0.9958938360214233,1.115100829451876e-07,0.9958935976028442,0.9958939552307129,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.06,0.011077908799052238,0.007039591204375029,0.00403831759467721,0.9940901398658752,1.0046360898741113e-07,0.9940899014472961,0.9940903782844543,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.07,0.01505768857896328,0.009580409154295921,0.005477279424667358,0.9919614195823669,2.027274916827082e-07,0.9919611215591431,0.9919614195823669,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.08000000000000002,0.019636400043964386,0.012511241249740124,0.007125158794224262,0.9895083904266357,2.5542266257616575e-07,0.9895079731941223,0.9895082712173462,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.08999999999999997,0.024808283895254135,0.015831658616662025,0.00897662527859211,0.9867324233055115,8.711996457577698e-08,0.9867322444915771,0.9867326021194458,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.09999999999999998,0.030566560104489326,0.01954113505780697,0.011025425046682358,0.9836355447769165,9.07515058656827e-08,0.9836354851722717,0.9836357235908508,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.10999999999999999,0.03690410405397415,0.023639068007469177,0.013265036046504974,0.9802197813987732,2.1973758634885598e-07,0.9802194237709045,0.980219841003418,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.12,0.04381289705634117,0.02812471240758896,0.015688184648752213,0.9764863848686218,8.429369557916289e-08,0.9764862060546875,0.9764864444732666,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.13,0.05128396302461624,0.032997213304042816,0.018286749720573425,0.9724380970001221,6.417100451017177e-08,0.9724379777908325,0.9724382162094116,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.14,0.059307850897312164,0.03825557231903076,0.021052278578281403,0.9680774211883545,1.3145002242254122e-07,0.9680771827697754,0.9680774211883545,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.15000000000000002,0.06787458062171936,0.043898604810237885,0.023975975811481476,0.963406503200531,9.551970947541122e-08,0.9634063243865967,0.9634066820144653,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.15999999999999998,0.07697270810604095,0.04992497339844704,0.027047734707593918,0.9584283232688904,7.409829549942515e-08,0.9584282040596008,0.9584285020828247,2.7512497488557663e-11,44.0
