method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.14,0.1800509982638889,0.6511067708333335,0.5047027692198753,1061984,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.14,0.1578311496310764,0.5163560655381946,0.5112616010010242,930926,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.14,0.15719689263237846,0.5178819444444445,0.5116694793105125,927185,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15000000000000002,0.19491712782118056,0.6900994194878471,0.5368947982788086,1149668,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15000000000000002,0.1720309787326389,0.54417724609375,0.5438702739775181,1014680,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15000000000000002,0.1715060763888889,0.5452867296006944,0.5443679597228765,1011584,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15999999999999998,0.20933142768012153,0.7237854003906251,0.5691252313554287,1234687,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15999999999999998,0.1858551025390625,0.570229763454861,0.5763399265706539,1096218,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15999999999999998,0.18549228244357638,0.5711500379774307,0.5769285727292299,1094078,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.16999999999999998,0.22380608452690973,0.7536783854166665,0.6014101058244705,1320062,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.16999999999999998,0.19932590060763888,0.5942070855034722,0.6086559966206551,1175672,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.16999999999999998,0.1992401123046875,0.5949347601996527,0.6093222368508577,1175166,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.18,0.23782212999131944,0.777859836154514,0.6334845386445522,1402732,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.18,0.21237826877170138,0.6165086534288192,0.6406996641308069,1252658,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.18,0.21237589518229166,0.6172492133246528,0.6414559669792652,1252644,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.19,0.2517213609483507,0.7986341688368058,0.6646146886050701,1484713,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.19,0.22540791829427084,0.6371643066406251,0.6724720802158117,1329510,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.19,0.22541368272569445,0.637692599826389,0.6733132805675268,1329544,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.2657418145073785,0.8171074761284725,0.6959129795432091,1567409,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.23816036648220487,0.6555738661024305,0.7039659861475229,1404727,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.2378726535373264,0.6558390299479165,0.7048890609294176,1403030,5898240,,,,,Learned + Nonlinear RX
